Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source
Indian Angel Network (IAN),Angel Network + VC funds (IAN Group),"Pre-Seed, Seed, Early-stage",India's largest early-stage investment platform: combine a pan-India angel community with SEBI-registered funds to back early-stage tech founders — including first-generation founders in Tier-II/III cities — with capital plus deep mentorship.,"AI/ML, DeepTech, Biotech, FinTech, Consumer, HealthTech, SpaceTech, MSME",Angel collaborative ~INR 1.2 Cr ($0.14M) avg; larger via IAN Alpha Fund,https://iangroup.vc,https://www.linkedin.com/company/indian-angel-network/,"Now IAN Group (founded 2006). Funds: IAN Angel Fund (evergreen), IAN Alpha Fund (SEBI Cat-II, $100M/INR 900 Cr final close Dec 2025), BioAngels. 225+ portfolio cos, 3 unicorns; catalysed ~INR 18,000 Cr. Leadership: Padmaja Ruparel (co-founder), Chintan Thakkar (Group CEO, ex-Info Edge), Vinod Keni, Priyank Garg. Portfolio: Druva, Spinny, Uniphore, FarEye, Zypp Electric.",,,"Indian Angel Network — now IAN Group — is India's largest and one of its oldest early-stage investment platforms, founded in 2006. It pairs a pan-India community of angel investors with a family of SEBI-registered venture funds, giving founders both capital and deep operator mentorship. The platform has built a portfolio of more than 225 companies, including three unicorns, and claims to have catalysed roughly INR 18,000 crore of follow-on investment and helped create tens of thousands of jobs. Its structure spans the evergreen IAN Angel Fund, the BioAngels vertical, and the IAN Alpha Fund — a SEBI Category-II vehicle that marked its final close at $100 million (about INR 900 crore) in December 2025, with a notable share of investments in first-generation founders across Tier-II and Tier-III cities. Collaborative angel cheques average around INR 1.2 crore, with larger amounts deployed through the Alpha Fund and top-ups into existing portfolio companies. IAN invests across AI/ML, deep tech, biotech, fintech, consumer, healthtech, spacetech and the MSME category. Its leadership includes co-founder Padmaja Ruparel and Group CEO Chintan Thakkar (former Info Edge CFO), alongside Vinod Keni and Priyank Garg. Portfolio names include Druva, Spinny, Uniphore, FarEye, Zypp Electric and Manastu Space.","Verified (web sources, 2025–26)",,
Zeropearl VC,"VC (solo-GP, pre-seed/seed micro-VC, SEBI AIF)","Pre-Seed, Seed (Friends & Family / first cheque)","'Founder-only' approach — be the first significant backer at pre-seed when conviction matters more than metrics; decide in 7 days, wire within 30, then partner seed-to-IPO. Sector-agnostic, leaning Consumer (D2C/B2C) and SaaS/GenAI.","Consumer (D2C/B2C), SaaS, GenAI, AI/ML (sector-agnostic)",$120K – $720K,https://zeropearl.vc,https://in.linkedin.com/in/bipinzeropearl,"Gurugram. Founded 2024 by solo GP Bipin Shah (IIT Bombay; ex-Partner/MD Titan Capital; 14 yrs early-stage, evaluated ~50,000 startups, met 5,000+ founders, backed 250+). Fund I INR 159 Cr (~$18M), final close Oct 2025, 3.5x oversubscribed; 52% from 31 founder-LPs incl 18 unicorn founders (e.g. Aman Gupta/boAt). Portfolio: Gully Labs, Frex, Supply 6, SteamPRO. Past bets (via Titan): Mamaearth, Credgenics, InVideo, Giva, CityMall; exits Beardo, Oziva, SuprDaily. | Ticket researched: Cheque size ₹1–6 Cr (~$120K–$720K) (VCCircle / Moneycontrol)",,,"Zeropearl VC is a solo-GP, pre-seed and seed-stage micro-fund founded in 2024 and based in Gurugram, established by Bipin Shah — an IIT Bombay alumnus and former partner/managing director at Titan Capital with over 14 years in early-stage investing. Shah's personal track record is among the most prolific in India: he has evaluated more than 50,000 startups, met thousands of founders, and backed 250-plus ventures, with early bets on Mamaearth, Credgenics, InVideo, Giva and CityMall, and exits including Beardo (acquired by Marico), Oziva (HUL) and SuprDaily (Swiggy). Zeropearl closed its maiden fund at INR 159 crore (about $18 million) in October 2025, oversubscribed more than 3.5 times against an INR 80 crore target before being capped to retain selectivity; notably, 52% of the corpus came from 31 founder-LPs, including 18 unicorn founders such as boAt's Aman Gupta, who provide operational mentorship and network access alongside capital. The fund follows a distinctive 'founder-only' philosophy — aiming to be the first significant backer at the friends-and-family or pre-seed stage — and a rapid, conviction-led process: a yes-or-no answer within seven days and funds wired within 30. It is sector-agnostic with a lean toward consumer (D2C/B2C) and SaaS/GenAI, targets roughly 8% ownership, and plans to back around 45 startups, guiding them toward a strong Series A within 15 months. Portfolio names include Gully Labs, Frex and Supply 6.","Verified (web sources, 2024–26)",,
Premji Invest,Family Office / Evergreen Investment Firm (crossover),"Series A, Series B, Growth Equity, Buyouts, Public Markets","Evergreen, crossover capital backing emerging and disruptive technologies and category-leading companies with enduring value built to thrive in public markets; returns primarily support the Azim Premji Foundation.","Technology, Consumer, Financial Services, Healthcare, Industrials",Historically ~$20–60M; $100M+ for late-stage (early-stage practice does Series A/B),https://www.premjiinvest.com,https://www.linkedin.com/company/premji-invest/,"Family office of Azim Premji (Wipro), founded 2006, Bengaluru + US. Multi-billion-dollar AUM across private (early/growth/buyout) and public markets. 124+ cos, 27 unicorns. Team ~84 incl 19 partners. Portfolio: Flipkart, Purplle, LambdaTest, GIVA, The Sleep Company, KreditBee, Dezerv. Returns fund Azim Premji Foundation.",,,"Premji Invest is the investment arm of Azim Premji, founder of Wipro, and one of India's most significant and distinctive capital allocators. Founded in 2006 and headquartered in Bengaluru with a US presence, it operates as an evergreen, crossover firm investing across both private and public markets — spanning early-stage (Series A and B), growth equity, buyouts and public equities — with a multi-billion-dollar asset base. Its focus areas are technology, consumer, financial services, healthcare and industrials, and it is known for patient, long-duration capital rather than fixed fund cycles. A defining feature is its purpose: the returns Premji Invest generates primarily fund the Azim Premji Foundation, a non-profit working to improve the lives of India's underserved. The firm has backed more than 120 companies, including 27 unicorns, with named investments such as Flipkart, Purplle, LambdaTest, GIVA, The Sleep Company, KreditBee and Dezerv, and it frequently co-invests with global institutions like BlackRock. Late-stage cheques have historically run in the $20–60 million range, rising to $100 million-plus, while a dedicated early-stage practice partners with Series A/B teams building global companies with public-market ambitions. With a team of around 84 including 19 partners, Premji Invest's backing is widely regarded as a strong signal of company quality and governance.","Verified (web sources, 2025–26)",,
Unicorn India Ventures,VC (SEBI AIF),"Seed, Series A (+ follow-on)","Back early-stage, technology-focused founders building defensible IP with a clear path to profitability; Fund III is ~80% focused on deep-tech, semiconductor, space and defence.","Deep-tech, Semiconductor, SpaceTech, DefenceTech, SaaS, FinTech, ClimateTech, AgriTech",~$1M–$2M initial (up to $10–15M follow-on),https://www.unicornivc.com,https://www.linkedin.com/company/unicorn-india-ventures/,"Founded 2015 by Bhaskar Majumdar & Anil Joshi (Mumbai). 3 funds; Fund III ~INR 1,200 Cr. Portfolio 60+ incl. Open (unicorn), Sequretek, Genrobotics, Pharmarack, SmartCoin, EyeROV, OrbitAID.",,,"Unicorn India Ventures (UIV) is a Mumbai-based, SEBI-registered early-stage venture fund founded in 2015 by Bhaskar Majumdar and Anil Joshi. It invests as the first institutional cheque in technology-focused founders building defensible intellectual property with a clear path to profitability, and is deliberately contrarian — avoiding hype-driven sectors. Across three funds UIV has built an active portfolio of more than 60 companies, including its neobanking unicorn Open, plus Sequretek, Genrobotics, Pharmarack, SmartCoin, EyeROV and OrbitAID, and has seen multiple acquisitions. Its third fund, closing near INR 1,200 crore, marks a sharp pivot toward deep technology: roughly 80% of capital is earmarked for semiconductor design, space and defence, alongside SaaS, fintech, climate-tech and agritech. UIV typically writes initial cheques of around $1–2 million (about INR 10 crore) and reserves substantial follow-on capital — up to $10–15 million — for its strongest companies, deploying only a portion of the corpus initially and concentrating reserves on winners. Fund III's limited partners are split roughly evenly between international investors, domestic institutions, and Indian family offices and UHNIs. The founders bring an unusual blend of media, corporate and angel-network experience, and Anil Joshi is known for candid, governance-focused mentorship of founders.","Verified (web sources, 2025–26)",,
Sun Icon Ventures,"VC (early-stage, family-office-backed)","Seed, Pre-Series A","Invest in early-stage disruptive startups 'building the India of tomorrow', combining technology with impact; integrity- and trust-led, long-term partnerships over quick wins. Deliberately avoids me-too consumer brands, generic SaaS and fintech.","DeepTech, Robotics, Drones, IoT, Hardware, AI applications (Agri/Climate/Health), B2B/Enterprise SaaS, Blockchain",$30K–$400K (can lead/co-lead); ownership ~1–15%,https://sunicon.vc,https://in.linkedin.com/company/suniconventures,"Mumbai. Founded 2022 by Suresh Jain (ex-Networth; founder Sun Capital/Sun Global; 3+ decades in capital markets) with children Saloni Jain & Darshan Jain as founding partners. Backed by an industrial family-office network. Maiden fund closed. Portfolio: Suind (drones), Dhiway (blockchain), Omnivio, AjnaLens, CultYvate, Vidyakul.",,,"Sun Icon Ventures is a Mumbai-based early-stage venture capital fund founded in 2022 by capital-markets veteran Suresh Jain, alongside his children Saloni and Darshan Jain as founding partners. Jain spent decades on the sell-side — exiting Networth after the 2008 crisis to build Sun Capital and Sun Global — before transitioning to the buy-side with Sun Icon, backed by a multi-decade industrial family-office network. The firm invests in early-stage disruptive startups 'building the India of tomorrow', combining technology with measurable impact, and is explicitly values-driven: Jain emphasises integrity and trust as non-negotiables and favours long-term partnerships over quick wins, looking beyond pitch decks to founders' intent and character. Sun Icon writes cheques of roughly $30K to $400K at seed to pre-Series A, with the ability to lead or co-lead and target ownership of 1–15%, supported by senior/technical hiring help, Series A intros and a manufacturing, supply-chain and distribution network. Its interests centre on AI-driven solutions in agriculture, climate and healthcare, plus robotics, drones, IoT, hardware and B2B/enterprise SaaS. Notably, it consciously avoids marketing-heavy consumer brands, saturated generic SaaS and the crowded, tightly-regulated fintech sector. Portfolio companies include drone startup Suind, blockchain firm Dhiway, Omnivio, AjnaLens, agritech CultYvate and vernacular e-learning platform Vidyakul.","Verified (web sources, 2025–26)",,
Neon Fund,VC (micro-VC),"Pre-Seed, Seed",Help Indian B2B SaaS / Enterprise-AI startups go global; act as US go-to-market partner to take companies to $10M ARR in 3–5 years.,"B2B SaaS, Enterprise AI",$500K–$1M,https://neon.fund,https://www.linkedin.com/company/beneon/,"Founders Siddhartha Ahluwalia & Nansi Mishra (The Neon Show; ex-100x Entrepreneur). Fund III $25M; Fund IV $50M raising. Delaware LP, US+India. Portfolio: Requestly (acq. BrowserStack), Highperformr, Zepic, Merlin AI.",,,"Neon Fund is an early-stage venture firm built specifically to help Indian B2B SaaS and enterprise-AI startups go global, founded by Siddhartha Ahluwalia and Nansi Mishra — hosts of the widely followed Neon Show (formerly the 100x Entrepreneur podcast). The fund evolved from their earlier $10–11 million 100x Entrepreneur vehicle, which backed 40+ SaaS startups including Airmeet, Astra Security, CloudSEK, InFeedo and SpotDraft. Neon's third fund stands at $25 million and a fourth fund of $50 million is being raised. It invests at pre-seed and seed, writing cheques of roughly $500K to $1 million, and positions itself as a hands-on go-to-market partner for the US market — helping portfolio companies with demand generation, outbound sales, branding and hiring, with the explicit goal of reaching $10 million in ARR within three to five years. The fund is structured as a Delaware limited partnership operating across the US and India, and its LP base includes CXOs from Amazon, Microsoft and HP, plus prominent SaaS founders and investors like Blume Founders Fund and Nexus's Sandeep Singhal. Recent portfolio companies include Requestly (acquired by BrowserStack), Highperformr, Zepic and Merlin AI. About half its bets back second-time founders, the rest first-timers with strong revenue focus.","Verified (web sources, 2025–26)",,
Pentathlon Ventures,VC (early-stage),"Pre-Seed, Seed, Series A",Founder's fund focused on early-stage Indian B2B SaaS; disciplined use-case-first investing in enterprise software built in India for global markets.,"B2B SaaS, Enterprise AI, FinTech, HealthTech, Cybersecurity, Logistics, Manufacturing",~$500K–$1M (INR 75L–3 Cr; Fund II ~INR 4–8 Cr),https://pentathlon.vc,https://www.linkedin.com/company/pentathlon-ventures/,"Pune-based, founded 2020 by Gireendra Kasmalkar, Sandeep Chawda, Madhukar Bhatia, Hemant Joshi, Saurabh Lahoti. Fund I ~INR 76–80 Cr (23 cos); Fund II final close INR 255 Cr. Portfolio: OneStack, Vodex, ElevateHQ, Kenko Health, TurboHire, ShopSe.",,,"Pentathlon Ventures is a Pune-based early-stage venture firm founded in 2020 that focuses exclusively on Indian B2B SaaS, run as a 'founder's fund' by a team of veteran operators including Gireendra Kasmalkar, Sandeep Chawda, Madhukar Bhatia, Hemant Joshi and Saurabh Lahoti — collectively bringing more than 150 years of entrepreneurial and investment experience. Its investment thesis centres on disciplined, use-case-first investing in enterprise software built in India for global markets, spanning enterprise digital transformation, ecommerce enablement, fintech, vertical SaaS, applied AI, sustainable tech, healthtech, cybersecurity and logistics. Fund I closed at roughly INR 76–80 crore ($9.5 million) and backed 23 startups, of which several have crossed $1 million ARR with 8x revenue growth. Fund II, launched in September 2023 with a target of INR 450 crore, reached a final close of INR 255 crore backed by family offices, HNIs and entrepreneurs across India and the US, and aims to back 16–25 companies. Ticket sizes run from about INR 75 lakh to INR 3 crore at pre-seed to Series A in Fund I, rising to roughly INR 4–8 crore in Fund II. Portfolio companies include OneStack, Vodex, ElevateHQ, AyushPay, Kenko Health, TurboHire, Riskcovry and ShopSe. Beyond capital, Pentathlon offers deep enterprise networks and operator mentorship.","Verified (web sources, 2025–26)",,
Alkemi Growth Capital,"VC (healthcare & wellness, early-growth; women-led, IFC-backed)","Seed, Series A (early growth)","India-focused healthcare and wellness fund investing exclusively in scalable companies with validated product-market fit, governance-aligned leadership and a clear pathway to institutional scale; sector specialisation plus long-term partnership capital.","Healthcare, Consumer Health, Wellness, Digital Health, Health IT",$100K–$5M (sweet spot ~$1.5M),https://www.alkemivp.com,https://in.linkedin.com/company/alkemi-growth-capital,"New Delhi. Founded 2017 by Alka Goel (Founder & Managing Partner; Delhi/New York) with Dr. Mansi Aggarwal (Partner); one of few women-led India VCs. Fund I ~$34M AUM, ~20–24 investments. Fund II target $75M (first close $49.7M; IFC up to $10M equity). Portfolio: Redcliffe Labs, Farmley, Jobizo, Akiva Superfoods; exit: Doxper. Healthcare advisory board incl. CEOs of Medanta, Cipla, Swiggy.",,,"Alkemi Growth Capital is a New Delhi-based, early-growth venture fund focused exclusively on India's healthcare and consumer-wellness sectors, founded in 2017 by Alka Goel, who returned from the US to launch one of the few women-led venture funds in the country. Alongside partner Dr. Mansi Aggarwal and a team drawn from McKinsey, IIM-Ahmedabad and AIIMS, Goel has built Alkemi into a sector-specialist investor backing scalable companies that have validated product-market fit, governance-aligned leadership and a clear pathway to institutional scale. The firm's debut fund holds roughly $34 million in assets and has made around 20 investments, primarily at Series A, with cheque sizes spanning $100K to $5 million and a sweet spot near $1.5 million. It is now raising a second fund targeting $75 million, having reached a first close of about $49.7 million with the IFC committing up to $10 million in equity plus a co-investment envelope — a strong endorsement of its strategy and ESG framework. Portfolio companies include diagnostics chain Redcliffe Labs, healthy-snacking brand Farmley, healthcare-staffing platform Jobizo and Akiva Superfoods, with an exit in Doxper. Alkemi's advisory board features senior healthcare and business leaders, including the CEOs of Medanta, Cipla and Swiggy, reinforcing its operator and clinical network.","Verified (web sources, 2025–26)",,
WEIN Capital,Angel / Micro-investor & accelerator (consumer brands),Early / Post-PMF (Seed),"Accelerate Indian new-age consumer brands — helping micro-businesses and product/brand owners grow reach across online and offline retail via an omni-channel approach, plus fundraising support; enters at the product-market-fit stage.","Consumer Brands, D2C",$50K – $100K,https://weincapital.in,https://in.linkedin.com/company/weincapital,"India. Nascent investor/accelerator for new-age consumer/D2C brands (also weinpe.com). Founding partners are first-generation consumer-goods operators with D2C toy & gifting backgrounds; one co-founded Rowboat, a founders-and-investors community (2022). Limited public disclosure on fund size, cheque size and portfolio. Ticket researched: typical initial cheque $100k (LinkedIn company); also disclosed smaller cheques up to ₹50L (~$60k) with reserves for follow-on (team posts).",,,"WEIN Capital is an early-stage, India-focused investor and accelerator concentrating on new-age consumer brands. Its stated mission is to help micro-businesses, product makers and D2C brand owners 'go from zero to one' — entering at the product-market-fit stage and accelerating growth by expanding a brand's reach across both online channels and physical retail through an omni-channel distribution approach, while also supporting founders in raising capital. The firm is run by first-generation founders and operators with hands-on experience in the consumer-goods sector, including a D2C toy-and-gifting business; one founding partner also established Rowboat, a community launched in 2022 that connects founders and investors. WEIN positions itself around speed, low cost and growth for the brands it backs, and frames the next decade as 'India's decade' for consumer entrepreneurship. Public disclosure on the firm is currently limited — fund size, typical cheque size and a named portfolio are not publicly available — so this profile is intentionally conservative and will be expanded as verified details emerge. (Note: distinct from WEH Ventures, a separate Mumbai seed fund listed elsewhere in this sheet.)",Verified (web) – limited public data,,
Warmup Ventures,"VC (founders-led micro-VC, SEBI AIF)","Pre-Seed, Seed (+ follow-on)","Founders-led, sector-agnostic technology micro-VC backing high-quality teams identified through 'green signals'; bridge India's business heritage — family offices and second-generation entrepreneurs — with future-forward startups, offering networks, GTM and hiring help beyond capital.","Sector-agnostic technology (lean: DeepTech, Climate, Sustainability, Consumer, Commerce, AgriTech)",Fund II ~INR 5–7 Cr per startup (~$600K–$850K); began as a syndicate,https://www.warmupventures.com,https://in.linkedin.com/company/warmupventures,"Jaipur. Founded mid-2023 (syndicate, then institutional fund). Team ~10 incl 4 partners. Fund II INR 300 Cr launched Dec 2024, targeting 25–30 startups with follow-on reserves. 15–23 investments: Bobabhai, Nitro Commerce, Balwaan Krishi, MiniMines, RocketPay, DATOMS, GreenStitch, DrinkPrime, Chakr Innovation.",,,"Warmup Ventures is a Jaipur-based, founders-led micro-VC firm that began in mid-2023 as a syndicate before scaling into an institutional fund. Sector-agnostic but technology-focused, it invests at pre-seed and seed, placing particular emphasis on 'green signals' that indicate high-quality founding teams. The firm's partners — a team of around ten including four partners — have themselves walked the founder's path of scaling businesses, raising capital and building teams, and they position Warmup as more than a cheque: portfolio companies get help with introductions to follow-on investors, connections to CEOs of large tech companies for business synergies, go-to-market planning and key technical hires. A distinctive part of its thesis is bridging India's traditional business heritage with its innovation economy by connecting family offices and second-generation entrepreneurs with future-forward startups. In December 2024 Warmup launched a ₹300 crore second fund, aiming to deploy roughly ₹5–7 crore into each of 25–30 early-stage startups with reserves for follow-on rounds. It has backed more than fifteen companies to date, including bubble-tea chain Bobabhai (expanded to 45 stores), Nitro Commerce, agri-equipment brand Balwaan Krishi, battery-recycling startup MiniMines, RocketPay and industrial-IoT platform DATOMS, with several having gone on to raise larger rounds — evidence of its early-conviction model.","Verified (web sources, 2024–26)",,
